	Layout name	Station	Layouts assembled	PCBs assembled	Layout load time[s]	Assembly time[s]/PCB	Glue time[s]/PCB	Component	Number placed	Time[s]/comp.	Mechanical failures	Electrical failures	Picking failures	Placement failures	Other failures	Consumed
	EMCRAFT 02R-IOT-BSB-EXT-1A TOP	my100-10n0106	13	26	33668	42	0	BLM18PG121SN1D	78	0.414	0	0	0	0	0	78
								BLM18PG600SN1	26	0.364	0	0	0	0	1	27
								C1005X5R0J104K	234	0.385	0	0	0	0	0	234
								CC0402JRNP09BN120	26	0.378	0	0	0	0	0	26
								CRM1206-FX-10R0ELF	26	0.428	0	0	0	0	0	26
								CRTOUCHB10VFM	20	1.01	0	0	5	0	0	25
								ERJ-2RKF5600X	55	0.388	0	0	7	0	0	62
								ESD9B5.OST5G	107	0.998	0	0	0	0	0	107
								GRM1555C1H102JA01D	78	0.38	0	0	0	0	0	78
								GRM155R71C103KA01D	79	0.369	0	0	0	0	0	79
								GRM188R60J105KA01D	134	0.383	0	0	2	0	0	136
								GRM188R60J106ME47D	52	0.361	0	0	0	0	0	52
								HSMG-C170	78	0.532	0	0	2	0	0	80
								JMK107BJ225KA-T	52	0.389	0	0	1	0	0	53
								JMK316B7226ML-T	26	0.711	0	0	0	0	0	26
								LQH32CN100K53L	26	0.701	0	0	0	0	0	26
								RC1005F5493CS	26	0.36	0	0	1	0	1	28
								RCLAMP0582N.TCT	78	0.866	0	0	0	0	0	78
								RLP73N2AR16FTDF	26	0.77	0	0	0	0	0	26
								RMCF0402FT270R	78	0.393	0	0	0	0	1	79
								RMCF0402JT100K	26	0.413	0	0	0	0	0	26
								RMCF0402JT100R	104	0.388	0	0	1	0	1	106
								RMCF0402JT10K0	208	0.38	0	0	1	0	0	209
								RMCF0402JT33R0	182	0.377	0	0	0	0	1	183
								RMCF0402JT4K70	78	0.369	0	0	0	0	0	78
								RMCF0402ZT0R00	130	0.374	0	0	2	0	0	132
								TPS6206DSGRG	26	0.857	0	0	0	0	4	30
								VLF302512MT-1RON	26	0.702	0	0	0	0	0	26
